Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
38.423478952,-0.116244316101074,-0.0275312662124634,0.00669538974761963,0.119647565328094
38.428478952,-0.0870189666748047,-0.0211095809936523,0.018740713596344,0.0914829454979371
38.433478952,-0.0766105651855469,-0.0240694284439087,0.0138615965843201,0.0814902444684749
38.438478952,-0.0745382308959961,-0.0116455554962158,0.0252115726470947,0.0795436372267449
38.443478952,-0.0629720687866211,0.00387239456176758,0.031683087348938,0.070599539027315
38.448478952,-0.0562868118286133,-0.00397050380706787,0.0427931249141693,0.0708182294768187
38.453478952,-0.0623989105224609,-0.00868725776672363,0.0505074262619019,0.0807470902850192
38.458478952,-0.0452117919921875,0.00388062000274658,0.0466215908527374,0.065059496465855
38.463478952,-0.0411357879638672,0.00495660305023193,0.0599630773067474,0.0728854690957037
38.468478952,-0.0199947357177734,0.0128669738769531,0.0644116997718811,0.0686601452130473
38.473478952,0.0227365493774414,0.00959920883178711,0.0618856549263001,0.0666252937963217
38.478478952,0.0538053512573242,0.00747311115264893,0.0624729096889496,0.0827872433363229
38.483478952,0.0655488967895508,-0.00159633159637451,0.0687625706195831,0.0950131425809394
38.488478952,0.0950613021850586,-0.00297129154205322,0.076735258102417,0.122203844385483
38.493478952,0.108515739440918,-0.00811982154846191,0.0622491240501404,0.125365667761943
38.498478952,0.122553825378418,-0.0142332315444946,0.0590920448303223,0.13679873814225
38.503478952,0.153055191040039,-0.0128295421600342,0.0524345636367798,0.162295631857787
38.508478952,0.164051055908203,-0.0113698244094849,0.0523546040058136,0.172577595337009
38.513478952,0.167391777038574,-0.0136858224868774,0.0467652678489685,0.174339608334595
38.518478952,0.164590835571289,-0.0280220508575439,0.0333002805709839,0.170247722963992
38.523478952,0.142213821411133,-0.0193600654602051,0.0473655760288239,0.151139276587932
38.528478952,0.109984397888184,-0.0198876857757568,0.0502385199069977,0.122539776019003
38.533478952,0.0869760513305664,-0.0181301832199097,0.0413073897361755,0.0979787604303153
38.538478952,0.058772087097168,-0.0222152471542358,0.0517815351486206,0.0814186883352263
38.543478952,0.0250673294067383,-0.0161387920379639,0.049795001745224,0.0580376930178779
38.548478952,0.00887107849121094,-0.0229178667068481,0.0352828800678253,0.0429977473115817
38.553478952,0.00327396392822266,-0.0221076011657715,0.0500371158123016,0.0548012575396022
38.558478952,0.0009918212890625,-0.0170977115631104,0.048823744058609,0.0517404429249046
38.563478952,-0.0159740447998047,-0.00711286067962647,0.0461961328983307,0.0493947931372749
38.568478952,-0.0211391448974609,-0.00603437423706055,0.0516140162944794,0.0561006577276553
38.573478952,-0.0185718536376953,-0.0103873014450073,0.0507819950580597,0.0550601562014332
38.578478952,-0.0194072723388672,-0.0118027925491333,0.0494246184825897,0.0543943107663144
38.583478952,-0.0171842575073242,-0.0118765830993652,0.0647540986537933,0.0680400266362334
38.588478952,-0.00103950500488281,-0.0144733190536499,0.0453415811061859,0.047606895638056
38.593478952,-0.0105705261230469,0.000204563140869141,0.0430286526679993,0.0443084960139694
38.598478952,-0.0327491760253906,-0.00201749801635742,0.0436407029628754,0.0545993569896381
38.603478952,-0.0341396331787109,0.0115920305252075,0.039616733789444,0.0535665503968471
38.608478952,-0.0361270904541016,0.0162694454193115,0.0367178618907929,0.0540190975559767
38.613478952,-0.0435543060302734,0.00656223297119141,0.0458477735519409,0.0635771878508082
38.618478952,-0.0639524459838867,0.00965893268585205,0.041993647813797,0.0771146988884803
38.623478952,-0.0765085220336914,0.0201282501220703,0.0209806859493256,0.0818467444658656
38.628478952,-0.0881710052490234,0.0214974880218506,0.037447988986969,0.0981764739489104
38.633478952,-0.100914001464844,0.0304926633834839,0.0388339459896088,0.112345509803413
38.638478952,-0.108447074890137,0.0174634456634522,0.0565070509910584,0.123526461935787
38.643478952,-0.0954761505126953,0.0177640914916992,0.049003541469574,0.108777779623453
38.648478952,-0.117291450500488,0.0233771800994873,0.0363987684249878,0.125014588159815
38.653478952,-0.134547233581543,0.0335787534713745,0.0485734641551971,0.146934924946977
38.658478952,-0.144037246704102,0.0315766334533691,0.0377876460552216,0.152222594948126
38.663478952,-0.143220901489258,0.0306370258331299,0.0387780070304871,0.151507715330118
38.668478952,-0.154506683349609,0.0173414945602417,0.0447003543376923,0.161775042300086
38.673478952,-0.148561477661133,0.0196719169616699,0.0458596050739288,0.156718219551343
38.678478952,-0.145751953125,0.0315556526184082,0.0470417141914368,0.156372356655499
38.683478952,-0.153390884399414,0.0361737012863159,0.0411217510700226,0.16287510089836
38.688478952,-0.16070556640625,0.0340853929519653,0.0384761095046997,0.168726121538015
38.693478952,-0.12580394744873,0.0264261960983276,0.0254897773265839,0.131052301704583
38.698478952,-0.119143486022949,0.0344032049179077,0.0427561402320862,0.131174838661498
38.703478952,-0.128494262695313,0.0250935554504395,0.0283665955066681,0.133959418524399
38.708478952,-0.116203308105469,0.0313625335693359,0.0334659218788147,0.124927119768852
38.713478952,-0.0679111480712891,0.0287374258041382,0.0315352976322174,0.0802012385874522
38.718478952,-0.0330133438110352,0.0206338167190552,0.0259156823158264,0.0467681285906975
38.723478952,-0.0133743286132813,0.0152089595794678,0.042732834815979,0.0472893253150821
38.728478952,0.0223979949951172,0.00876164436340332,0.0583299398422241,0.0630937276894426
38.733478952,0.0482301712036133,0.00929200649261475,0.050739973783493,0.0706189474471137
38.738478952,0.0831756591796875,-0.00468778610229492,0.0470336675643921,0.0956678185341035
38.743478952,0.104265213012695,-0.00564563274383545,0.031438410282135,0.109048069468143
38.748478952,0.127707481384277,-0.000432610511779785,0.036624401807785,0.132856067837147
38.753478952,0.127745628356934,-0.00770306587219238,0.0291094183921814,0.131246489580751
38.758478952,0.153803825378418,-0.0175306797027588,0.0240832269191742,0.156661875549593
38.763478952,0.145697593688965,-0.00927281379699707,0.0384944081306458,0.150982096090223
38.768478952,0.166471481323242,-0.0162708759307861,0.0291589498519897,0.169787337142616
38.773478952,0.17325496673584,-0.013269305229187,0.0291951596736908,0.17619794354156
38.778478952,0.167455673217773,-0.010036826133728,0.0305697619915009,0.170518769406401
38.783478952,0.166740417480469,-0.015055775642395,0.0359992980957031,0.171245416479211
38.788478952,0.161849021911621,-0.018169641494751,0.0357793271541595,0.166749518792111
38.793478952,0.172855377197266,-0.00019991397857666,0.031021922826767,0.175617143489688
38.798478952,0.17413330078125,-0.00786292552947998,0.0305596590042114,0.176969276421952
38.803478952,0.150521278381348,-0.0128754377365112,0.0215606689453125,0.152601751588346
38.808478952,0.152416229248047,-0.00143992900848389,0.0331917405128479,0.155995102397527
38.813478952,0.154621124267578,-0.00761902332305908,0.0379124879837036,0.15938349453843
38.818478952,0.13774299621582,-0.00670766830444336,0.0273410677909851,0.140590397284257
38.823478952,0.12267017364502,0.00133728981018066,0.024937242269516,0.125186364665423
38.828478952,0.105772018432617,-0.00108134746551514,0.0181660950183868,0.107326120790179
38.833478952,0.0747184753417969,0.00608527660369873,0.00837334990501404,0.075432049802309
38.838478952,0.0242824554443359,0.0112613439559937,0.0183094143867493,0.0324297728220081
38.843478952,-0.0412569046020508,0.0173269510269165,0.0119518637657166,0.0463163303458524
38.848478952,-0.0859298706054688,0.0244013071060181,0.00000685453414916992,0.0893272998457887
38.853478952,-0.125178337097168,0.0312930345535278,-0.00549060106277466,0.129147267837965
38.858478952,-0.153870582580566,0.0335111618041992,-0.00226974487304688,0.157493828104275
38.863478952,-0.173654556274414,0.0347892045974731,-0.00133168697357178,0.177110042238107
38.868478952,-0.17552375793457,0.033159613609314,-0.00784727931022644,0.178800809189347
38.873478952,-0.164705276489258,0.0370560884475708,0.0044826865196228,0.168881841157865
38.878478952,-0.144668579101563,0.0484950542449951,-0.0213382840156555,0.154065214861184
38.883478952,-0.111638069152832,0.0318384170532227,-0.000588297843933106,0.116090866905974
38.888478952,-0.0829687118530273,0.0337170362472534,0.00701794028282166,0.0898326063612903
38.893478952,-0.0545454025268555,0.0263887643814087,0.0142892897129059,0.0622555348775798
38.898478952,-0.0459823608398438,0.0172953605651855,0.0157715380191803,0.0515969806963142
38.903478952,-0.0124921798706055,0.0116817951202393,0.010777473449707,0.020215658018228
38.908478952,-0.00595188140869141,0.0213569402694702,0.0263708829879761,0.0344523912020976
38.913478952,0.000440597534179688,0.018474817276001,0.0241948068141937,0.03044505996619
38.918478952,0.00220203399658203,0.0151565074920654,0.0092790424823761,0.0179072416208884
38.923478952,-0.0284395217895508,0.015058159828186,-0.00592288374900818,0.0327205612563995
38.928478952,-0.060969352722168,0.0183695554733276,0.0120142102241516,0.0648000292203476
38.933478952,-0.0829010009765625,0.0247830152511597,-0.00812864303588867,0.0869071265516248
38.938478952,-0.121149063110352,0.0381828546524048,-0.0144630670547485,0.127844460930276
